# キャラクター・人型・空想の生き物（character）。実在の人物は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
# 天狗	てんぐ	tengu with a long nose	テング,tengu	2	# 落とした: 生成テスト 60³(2026-09-21): 赤い塊
# 鬼	おに	Japanese oni ogre	オニ,oni,ogre	1	# 落とした: 生成テスト 60³(2026-09-21): 赤い塊
# 妖精	ようせい	fairy	フェアリー	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 魔女	まじょ	witch		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 魔法使い	まほうつかい	wizard	ウィザード,魔術師	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# 騎士	きし	knight in armor	ナイト,knight,兵士,soldier	1	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 侍	さむらい	samurai	サムライ	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 忍者	にんじゃ	ninja	ニンジャ	1	# 落とした: 生成テスト 60³(2026-09-21): 黒い棒
# 海賊	かいぞく	pirate	パイレーツ	1	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 王様	おうさま	king	王,キング	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# お姫様	おひめさま	princess	姫,プリンセス	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
ロボット	ろぼっと	robot	ロボ,ロボット玩具,おもちゃのロボット,機械,きかい,ろぼっとがんぐ	1		SF・アニメの機体	robot,robot toy
宇宙人	うちゅうじん	grey alien with big black eyes	グレイ,火星人,かせいじん	1		怖い生き物	alien,grey alien
幽霊	ゆうれい	white sheet ghost	ゴースト,おばけ,オバケ,お化け,オバケちゃん	1		ホラーの定番	ghost
# ゾンビ	ぞんび	zombie		1	# 落とした: 生成テスト 60³(2026-09-21): 棒
スケルトン	すけるとん	cartoon skeleton figure	ガイコツ,骸骨,がいこつ	1		ホラーの定番	skeleton
ミイラ	みいら	mummy monster wrapped in bandages	マミー,ミイラ男,包帯,ほうたい	2		ホラーの定番	mummy
# 吸血鬼	きゅうけつき	Dracula vampire with a black cape	バンパイア,ヴァンパイア,ドラキュラ,dracula	2	# 落とした: 生成テスト 60³(2026-09-21): マントだけ
フランケンシュタイン	ふらんけんしゅたいん	Frankenstein monster with green skin and neck bolts	フランケン,フランケンシュタインの怪物	2		ホラーの定番	frankenstein
# 狼男	おおかみおとこ	werewolf		2	# 落とした: 細かすぎて 60³ では見分けがつかない
悪魔	あくま	devil	デビル,デーモン,サタン,鬼,おに	2		ホラーの定番	devil,demon
# 天使	てんし	angel	エンジェル	1	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
大仏	だいぶつ	Great Buddha statue	仏像,ぶつぞう,仏様,ほとけさま,ブッダ,奈良の大仏,鎌倉の大仏	2		日本の置き物	great buddha,buddha,buddha statue
テディベア	てでぃべあ	brown teddy bear	テディ,くまのぬいぐるみ,クマのぬいぐるみ	1		おもちゃ	teddy bear,teddy
# ぬいぐるみ	ぬいぐるみ	stuffed toy animal	stuffed toy,plush toy,plushie	1	# 落とした: 細かすぎて 60³ では見分けがつかない
# 人形	にんぎょう	doll	お人形	2	# 落とした: 細かすぎて 60³ では見分けがつかない
# マネキン	まねきん	mannequin		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ピノキオ	ぴのきお	Pinocchio	pinocchio	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 警察官	けいさつかん	police officer	警官,おまわりさん,policeman	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 医者	いしゃ	doctor	お医者さん,医師	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ダイバー	だいばー	scuba diver	潜水士,diver	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# 兵士	へいし	soldier	軍人	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ボクサー	ぼくさー	boxer		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# バレリーナ	ばれりーな	ballerina		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
ダースベイダー	だーすべいだー	Darth Vader	ベイダー,ダースベーダー	2		スター・ウォーズ	Darth Vader,vader,darthvader
R2-D2	あーるつーでぃーつー	R2-D2	アールツーディーツー	2		スター・ウォーズ	R2-D2,r2d2,R2
ミニオン	みにおん	Minion	ミニオンズ	1		海外のアニメ映画	Minion,minions
シュレック	しゅれっく	Shrek		2		海外のアニメ映画	Shrek
スポンジボブ	すぽんじぼぶ	SpongeBob		2		海外のアニメ映画	SpongeBob
スパイダーマン	すぱいだーまん	Spider-Man	スパイディ	2		アメコミヒーロー	Spider-Man,spiderman
# バットマン	ばっとまん	Batman	batman	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# スーパーマン	すーぱーまん	Superman	superman	2	# 落とした: 細かすぎて 60³ では見分けがつかない
アイアンマン	あいあんまん	Iron Man		2		アメコミヒーロー	Iron Man,ironman
ハルク	はるく	Hulk	超人ハルク	2		アメコミヒーロー	Hulk
# マーメイド	まーめいど	mermaid	人魚,人魚姫	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ケンタウロス	けんたうろす	centaur		3	# 落とした: 生成テスト 60³(2026-09-21): 馬と紛らわしい
# ミノタウロス	みのたうろす	minotaur		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# サイクロプス	さいくろぷす	cyclops	一つ目巨人	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ゴーレム	ごーれむ	golem		2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# トロール	とろーる	troll		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ゴブリン	ごぶりん	goblin		2	# 落とした: 細かすぎて 60³ では見分けがつかない
# オーク	おーく	orc		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# ドワーフ	どわーふ	dwarf		3	# 落とした: 細かすぎて 60³ では見分けがつかない
# エルフ	えるふ	elf		3	# 落とした: 細かすぎて 60³ では見分けがつかない
スライム	すらいむ	slime monster	スライムくん	1		ゲームのキャラ	slime monster,slime
クリーパー	くりーぱー	Minecraft Creeper	匠,たくみ,タクミ,匠さん,匠くん,マイクラのあいつ,爆発するやつ	1		マイクラのキャラ	Minecraft Creeper,creeper
エンダーマン	えんだーまん	Minecraft Enderman	エンダー	1		マイクラのキャラ	Minecraft Enderman,enderman
スティーブ	すてぃーぶ	Minecraft Steve	マイクラの人,マイクラの主人公,主人公,マインクラフトのスティーブ	2		マイクラのキャラ	Minecraft Steve,steve
招き猫	まねきねこ	maneki-neko beckoning cat	まねきねこ,まねき猫,福猫	1		日本の置き物	maneki-neko beckoning cat,maneki neko,lucky cat,beckoning cat,manekineko
埴輪	はにわ	haniwa clay figure	ハニワ	2		日本の置き物	haniwa clay figure,haniwa
# 土偶	どぐう	dogu clay figurine	dogu	3	# 落とした: 細かすぎて 60³ では見分けがつかない
ジャックオーランタン	じゃっくおーらんたん	jack-o'-lantern	ジャックオランタン,ハロウィンかぼちゃ,ハロウィンのかぼちゃ,ハロウィン	1		ホラーの定番	jack-o'-lantern,jack-o-lantern,jack o lantern,jackolantern
雛人形	ひなにんぎょう	hina doll	お雛様,おひなさま,ひな人形,お内裏様	2		日本の置き物	hina doll,hina dolls
# ミイラ男	みいらおとこ	mummy monster	skip	3	# 落とした: 細かすぎて 60³ では見分けがつかない
# --- 2026-09-21 追加（1,000 語へ。体積があり輪郭で分かる物に寄せた）
ルイージ	るいーじ	Luigi from Mario		2		マリオ	luigi
ピーチ姫	ぴーちひめ	Princess Peach	ピーチ,ぴーち	2		マリオ	Princess Peach
ワリオ	わりお	Wario		3		マリオ	Wario
ドンキーコング	どんきーこんぐ	Donkey Kong		2		マリオ	Donkey Kong,dk
テレサ	てれさ	Boo ghost from Mario	マリオのおばけ	3		マリオ	boo,king boo
ボム兵	ぼむへい	Bob-omb		3		マリオ	Bob-omb,bobomb,bob omb
パックンフラワー	ぱっくんふらわー	Piranha Plant from Mario	パックン,食虫植物	3		マリオ	piranha plant
クリボー	くりぼー	Goomba		3		マリオ	Goomba
ノコノコ	のこのこ	Koopa Troopa		3		マリオ	Koopa Troopa
イーブイ	いーぶい	Eevee		2		ポケモン	Eevee
ゼニガメ	ぜにがめ	Squirtle		2		ポケモン	Squirtle
ヒトカゲ	ひとかげ	Charmander		2		ポケモン	Charmander
フシギダネ	ふしぎだね	Bulbasaur		2		ポケモン	Bulbasaur
カビゴン	かびごん	Snorlax		2		ポケモン	Snorlax
ミュウツー	みゅうつー	Mewtwo		3		ポケモン	Mewtwo
ゲンガー	げんがー	Gengar		3		ポケモン	Gengar
コダック	こだっく	Psyduck		3		ポケモン	Psyduck
ピチュー	ぴちゅー	Pichu		3		ポケモン	Pichu
# ミミッキュ	みみっきゅ	Mimikyu		3		ポケモン	Mimikyu	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ミニーマウス	みにーまうす	Minnie Mouse	ミニー,ミニーちゃん,ミッキー,ミッキーマウス	2		ディズニー	Minnie Mouse,minnie	# 2026-09-21 ディズニーは消す（本人）
# グーフィー	ぐーふぃー	Goofy		3		ディズニー	Goofy	# 2026-09-21 ディズニーは消す（本人）
# プルート	ぷるーと	Pluto the dog		3		ディズニー	pluto	# 2026-09-21 ディズニーは消す（本人）
# スティッチ	すてぃっち	Stitch from Lilo and Stitch		2		ディズニー	stitch	# 2026-09-21 ディズニーは消す（本人）
# バズライトイヤー	ばずらいといやー	Buzz Lightyear	バズ	2		ピクサー	Buzz Lightyear,buzz	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# ウッディ	うっでぃ	Woody from Toy Story	ウッディー,カウボーイ	2		ピクサー	woody	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# マイク・ワゾウスキ	まいくわぞうすき	Mike Wazowski	マイクワゾウスキ	2		ピクサー	Mike Wazowski,mike	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# サリー	さりー	Sulley from Monsters Inc		3		ピクサー	sulley,sully	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# ニモ	にも	Nemo the clownfish	クマノミ,カクレクマノミ,ファインディングニモ	1		ピクサー	nemo,clownfish	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# ドリー	どりー	Dory the blue tang fish	ナンヨウハギ	2		ピクサー	dory	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# オラフ	おらふ	Olaf the snowman		2		ピクサー	olaf	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# ベイマックス	べいまっくす	Baymax		1		ピクサー	Baymax	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# ライトニング・マックィーン	らいとにんぐまっくぃーん	Lightning McQueen	マックィーン,マックイーン,カーズ	2		ピクサー	Lightning McQueen,mcqueen	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# ウォーリー	うぉーりー	WALL-E robot	ウォーリ	2		ピクサー	WALL-E robot,wall-e,walle	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
リラックマ	りらっくま	Rilakkuma		2		サンリオ・ゆるキャラ	Rilakkuma
# すみっコぐらし	すみっこぐらし	Sumikko Gurashi	すみっコ,すみっこ	3		サンリオ・ゆるキャラ	Sumikko Gurashi,sumikko	# 2026-09-21 作品名は答えにしない（本人「作品名じゃ無理」）
ぐでたま	ぐでたま	Gudetama		2		サンリオ・ゆるキャラ	Gudetama
マイメロディ	まいめろでぃ	My Melody	マイメロ,まいめろ	2		サンリオ・ゆるキャラ	My Melody
シナモロール	しなもろーる	Cinnamoroll	シナモン,しなもん	2		サンリオ・ゆるキャラ	Cinnamoroll
ポムポムプリン	ぽむぽむぷりん	Pompompurin		3		サンリオ・ゆるキャラ	Pompompurin
けろっぴ	けろっぴ	Keroppi		3		サンリオ・ゆるキャラ	Keroppi
ドラミちゃん	どらみちゃん	Dorami	ドラミ	3		ドラえもん	Dorami
# コロ助	ころすけ	Korosuke	korosuke	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
ちびまる子ちゃん	ちびまるこちゃん	Chibi Maruko-chan	まる子,まるこ,ちびまる子	3		日本のアニメ	Chibi Maruko-chan,chibi maruko chan,maruko,chibi maruko
しんちゃん	しんちゃん	Crayon Shin-chan	クレヨンしんちゃん,野原しんのすけ,しんのすけ	2		日本のアニメ	Crayon Shin-chan,shin chan,shinchan
# ドキンちゃん	どきんちゃん	Dokin-chan	dokinchan	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# しょくぱんまん	しょくぱんまん	Shokupanman	shokupanman	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
カレーパンマン	かれーぱんまん	Currypanman		3		アンパンマン	Currypanman
ジバニャン	じばにゃん	Jibanyan		3		日本のアニメ	Jibanyan
# 妖怪ウォッチ	ようかいうぉっち	Yo-kai Watch		3		日本のアニメ	Yo-kai Watch,yokai watch	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
ハム太郎	はむたろう	Hamtaro	ハムスター,はむすたー	2		日本のアニメ	Hamtaro
# たれぱんだ	たれぱんだ	Tarepanda	tarepanda	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
くまモン	くまもん	Kumamon		2		サンリオ・ゆるキャラ	Kumamon
ふなっしー	ふなっしー	Funassyi		3		サンリオ・ゆるキャラ	Funassyi
# ひこにゃん	ひこにゃん	Hikonyan	hikonyan	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
ミッフィー	みっふぃー	Miffy	うさこちゃん	2		絵本・海外のキャラ	Miffy
ムーミン	むーみん	Moomin		2		絵本・海外のキャラ	Moomin
# パディントン	ぱでぃんとん	Paddington Bear		3		絵本・海外のキャラ	Paddington Bear,paddington	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ピーターラビット	ぴーたーらびっと	Peter Rabbit		3		絵本・海外のキャラ	Peter Rabbit	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
バーバパパ	ばーばぱぱ	Barbapapa		3		絵本・海外のキャラ	Barbapapa
# ガチャピン	がちゃぴん	Gachapin	gachapin	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ムック	むっく	Mukku	mukku	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
エルモ	えるも	Elmo		2		絵本・海外のキャラ	Elmo
# クッキーモンスター	くっきーもんすたー	Cookie Monster	cookie monster	2	# 落とした: 生成テスト 60³(2026-09-21): 塊
# ビッグバード	びっぐばーど	Big Bird	セサミストリート,鳥,とり	3		絵本・海外のキャラ	big bird	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# カーミット	かーみっと	Kermit the Frog	カエル,かえる	3		絵本・海外のキャラ	kermit,kermit the frog	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ガーフィールド	がーふぃーるど	Garfield	猫,ねこ	3		絵本・海外のキャラ	Garfield	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# トムとジェリー	とむとじぇりー	Tom and Jerry	tom and jerry,tom & jerry	3	# 落とした: 生成テスト 60³(2026-09-21): 猫と紛らわしい
ピングー	ぴんぐー	Pingu		3		絵本・海外のキャラ	Pingu
# ペネロペ	ぺねろぺ	Penelope the koala	コアラ,こあら	3		絵本・海外のキャラ	penelope	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# グルート	ぐるーと	Groot	木,き	3		アメコミヒーロー	Groot	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
ヨーダ	よーだ	Yoda	マスターヨーダ	2		スター・ウォーズ	Yoda
# ベイビーヨーダ	べいびーよーだ	Baby Yoda Grogu	グローグー,ヨーダ,よーだ	2		スター・ウォーズ	Baby Yoda Grogu,baby yoda,grogu	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ストームトルーパー	すとーむとるーぱー	Stormtrooper	トルーパー,帝国軍	2		スター・ウォーズ	Stormtrooper,storm trooper	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# BB-8	びーびーえいと	BB-8 droid	ビービーエイト	2		スター・ウォーズ	BB-8 droid,bb-8,bb8	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# チューバッカ	ちゅーばっか	Chewbacca	チューイ	3		スター・ウォーズ	Chewbacca,chewie	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# デッドプール	でっどぷーる	Deadpool		3		アメコミヒーロー	Deadpool	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
キャプテンアメリカ	きゃぷてんあめりか	Captain America	キャプテン	3		アメコミヒーロー	Captain America
# ソー	そー	Thor with hammer	マイティソー,雷神	3		アメコミヒーロー	thor	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ヴェノム	べのむ	Venom		3		アメコミヒーロー	Venom	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
狼男	おおかみおとこ	werewolf	人狼,じんろう,オオカミ男	3		ホラーの定番	werewolf,wolfman
魔法使い	まほうつかい	wizard with a hat	魔導士,魔術師,まじゅつし,魔女,まじょ,ウィザード	2		ファンタジーの人	wizard,witch,mage,sorcerer
# 妖精	ようせい	fairy with wings	fairy,ティンカーベル	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ペガサス	ぺがさす	pegasus winged horse	天馬,てんば,羽の生えた馬	2		伝説の生き物	pegasus winged horse,pegasus,winged horse
グリフォン	ぐりふぉん	griffin	グリフィン	3		伝説の生き物	griffin,gryphon,griffon
# ケルベロス	けるべろす	cerberus three headed dog	cerberus	3	# 落とした: 生成テスト 60³(2026-09-21): 犬と紛らわしい
# クラーケン	くらーけん	kraken sea monster	kraken	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
ネッシー	ねっしー	Loch Ness Monster	ネス湖の怪物,首長竜	3		伝説の生き物	Loch Ness Monster,nessie,loch ness
イエティ	いえてぃ	yeti	雪男,ゆきおとこ,ビッグフット	3		伝説の生き物	yeti,abominable snowman,sasquatch
# ビッグフット	びっぐふっと	bigfoot	雪男,ゆきおとこ,イエティ	3		ファンタジーの生き物	bigfoot,sasquatch	# 2026-09-21 甘さの見直し: 「イエティ」に統合（spec 12 の 2-5）
サイクロプス	さいくろぷす	cyclops	一つ目巨人,巨人,きょじん	3		怖い生き物	cyclops
ミノタウロス	みのたうろす	minotaur	牛頭,牛の怪物	3		怖い生き物	minotaur
トロール	とろーる	troll		3		怖い生き物	troll
ゴブリン	ごぶりん	goblin		3		怖い生き物	goblin
オーク	おーく	orc	オーガ	3		怖い生き物	orc,ogre
ドワーフ	どわーふ	dwarf		3		ファンタジーの人	dwarf
エルフ	えるふ	elf		3		ファンタジーの人	elf
ノーム	のーむ	gnome	ガーデンノーム	2		ファンタジーの人	gnome,garden gnome
# 妖怪	ようかい	Japanese yokai monster	yokai	3	# 落とした: 生成テスト 60³(2026-09-21): 曖昧
一つ目小僧	ひとつめこぞう	hitotsume kozo one eyed yokai		3		日本のおばけ	hitotsume kozo,one-eyed monster,hitotsume
# ろくろ首	ろくろくび	rokurokubi long neck yokai	rokurokubi	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
唐傘お化け	からかさおばけ	kasa obake umbrella yokai	傘お化け,かさおばけ,傘,かさ	3		日本のおばけ	kasa obake,umbrella ghost,karakasa
# 座敷わらし	ざしきわらし	zashiki warashi	zashiki	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
雪女	ゆきおんな	yuki onna snow woman		3		日本のおばけ	yuki onna,snow woman,yuki-onna
土偶	どぐう	dogu clay figurine		3		日本の置き物	dogu,clay figurine
人形	にんぎょう	porcelain doll	お人形,おにんぎょう,ドール,フィギュア,西洋人形	2		おもちゃ	porcelain doll,doll
# マネキン	まねきん	mannequin		3	# 落とした: 生成テスト 60³(2026-09-21): 細い
ロボット犬	ろぼっといぬ	robot dog	アイボ	2		SF・アニメの機体	robot dog,aibo
エイリアン	えいりあん	xenomorph alien	ゼノモーフ	3		怖い生き物	xenomorph alien,xenomorph
モンスター	もんすたー	furry monster	怪物,かいぶつ,怪獣,かいじゅう	2		怖い生き物	furry monster,monster
# 恐竜くん	きょうりゅうくん	cute cartoon t-rex	ティラノサウルス,ティラノ,恐竜,きょうりゅう	2		ファンタジーの生き物	t-rex,tyrannosaurus,dinosaur,trex	# 2026-09-21 甘さの見直し: 「恐竜」に統合（spec 12 の 2-5）
# ジャイアントロボ	じゃいあんとろぼ	giant robot mech	メカ,巨大ロボ	3		SF・アニメの機体	giant robot mech,giant robot,mech,mecha	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# マトリョーシカ	まとりょーしか	matryoshka doll	matryoshka,russian doll	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# くるみ割り人形	くるみわりにんぎょう	nutcracker soldier	兵隊,へいたい	2		日本の置き物	nutcracker soldier,nutcracker	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# 福助	ふくすけ	fukusuke doll		3		日本の置き物	fukusuke doll,fukusuke	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ビリケン	びりけん	billiken statue	ビリケンさん	3		日本の置き物	billiken	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ルカリオ	るかりお	Lucario pokemon		3		ポケモン	Lucario pokemon,lucario	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
リザードン	りざーどん	Charizard pokemon		2		ポケモン	Charizard pokemon,charizard
カメックス	かめっくす	Blastoise pokemon		3		ポケモン	Blastoise pokemon,blastoise
フシギバナ	ふしぎばな	Venusaur pokemon		3		ポケモン	Venusaur pokemon,venusaur
# ピッピ	ぴっぴ	Clefairy pokemon		3		ポケモン	Clefairy pokemon,clefairy	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ロコン	ろこん	Vulpix pokemon		3		ポケモン	Vulpix pokemon,vulpix	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
ニャース	にゃーす	Meowth pokemon		2		ポケモン	Meowth pokemon,meowth
# ヤドン	やどん	Slowpoke pokemon		3		ポケモン	Slowpoke pokemon,slowpoke	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
コイキング	こいきんぎ	Magikarp pokemon	こいきんぐ	3		ポケモン	Magikarp pokemon,magikarp
# ラプラス	らぷらす	Lapras pokemon	lapras	3	# 落とした: 生成テスト 60³(2026-09-21): 白い馬になる
# メタモン	めたもん	Ditto pokemon	ditto	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ラッキー	らっきー	Chansey pokemon		3		ポケモン	Chansey pokemon,chansey	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ポッチャマ	ぽっちゃま	Piplup pokemon		3		ポケモン	Piplup pokemon,piplup	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ヒコザル	ひこざる	Chimchar pokemon		3		ポケモン	Chimchar pokemon,chimchar	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ナエトル	なえとる	Turtwig pokemon	turtwig	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
